p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.12119663096407e-254,0.8468917204771,0.998,0.995,3.9609104689992e-250,0,EEF1A1
5.39839437689884e-253,0.891040274044987,0.988,0.913,1.00804218199832e-248,0,RPS21
2.93004875666031e-251,0.874128069881038,0.991,0.957,5.4712800433118e-247,0,RPL14
5.20601052814716e-251,0.82138334858499,1,0.984,9.7211834592092e-247,0,RPS23
5.35848365150086e-249,1.10202855654056,0.907,0.724,1.00058965224476e-244,0,CD52
1.55217090489597e-245,0.947580165102599,0.947,0.895,2.89836873071225e-241,0,EEF1D
7.55274021577387e-245,1.05009257351019,0.984,0.791,1.41032318049145e-240,0,AC090498.1
1.3979703866114e-243,0.72850157155633,0.999,0.994,2.61043010291946e-239,0,RPS15
7.42585689255854e-233,1.4594834540844,0.603,0.237,1.38663025754746e-228,0,IL32
1.58759564942939e-230,1.61654520128952,0.841,0.664,2.96451735617949e-226,0,JUNB
1.34245606823453e-224,1.29308850842816,0.319,0.043,2.50676821621435e-220,0,CCR7
5.898565949817e-224,0.777150029318,0.986,0.974,1.10143921980933e-219,0,RPL29
1.79314331617719e-220,0.86713195802206,0.996,0.988,3.34833651429767e-216,0,RPL7
3.36910229017003e-219,1.1737897666741,0.961,0.716,6.29112470643449e-215,0,NBEAL1
4.03569386685875e-214,1.01999779740869,0.961,0.793,7.53585115758535e-210,0,RPS10
9.35962522191217e-212,1.52922740758277,0.437,0.114,1.74772281768766e-207,0,IL7R
4.12177675379489e-208,1.39750549271323,0.75,0.549,7.6965937323612e-204,0,SARAF
1.64812884142117e-207,0.85671309318787,0.953,0.91,3.07755098558574e-203,0,RPL4
2.53382654135772e-206,0.72311289797606,0.997,0.982,4.73141430067727e-202,0,RPL28
1.2717452995583e-205,1.43455117580997,0.636,0.308,2.37472999786521e-201,0,EVL
1.41909712823012e-205,0.726960138745196,0.995,0.977,2.64988006754411e-201,0,RPL35
1.56486127588016e-200,1.16935324066311,0.319,0.052,2.92206546045103e-196,0,BCL11B
8.21622221791411e-200,1.50659277005296,0.574,0.262,1.5342151747511e-195,0,LEPROTL1
2.77729091057698e-199,0.76921231692122,0.999,0.947,5.18603531732039e-195,0,RPL26
1.08732538928821e-196,1.11559677487605,0.841,0.727,2.03036269941787e-192,0,TOMM7
2.00320682779118e-194,1.4576744544373,0.324,0.059,3.74058810953446e-190,0,CD8B
9.97027393985104e-190,0.765421347203548,0.998,0.982,1.86174925278838e-185,0,TMSB10
1.03157440901109e-186,1.27470967846595,0.43,0.124,1.92625889394641e-182,0,LCK
3.39333264835168e-186,1.35859629698273,0.577,0.248,6.33637005426709e-182,0,FYB
2.38701404369632e-184,1.63159736070894,0.551,0.244,4.45727132379414e-180,0,TRBC2
6.28852936131337e-184,0.69689436603144,0.986,0.964,1.17425708763804e-179,0,FAU
6.12679565211115e-183,0.727169716456352,0.99,0.956,1.14405655211871e-178,0,RPS7
1.92000625487919e-182,1.08208175877385,0.844,0.704,3.58522767973591e-178,0,BTG1
2.65732105346721e-181,0.693324565944334,0.998,0.986,4.96201560313932e-177,0,RPS2
4.88782168496681e-181,0.721203917093599,1,0.993,9.12702943233852e-177,0,TMSB4X
9.5064257123521e-181,1.15346367844432,0.319,0.061,1.77513487326751e-176,0,FLT3LG
4.19364743488877e-177,0.764876599746257,0.977,0.959,7.83079785516779e-173,0,TPT1
5.67458881386078e-177,1.26088530015967,0.313,0.06,1.05961596921222e-172,0,LINC00861
6.73342960085629e-174,1.04251615175922,0.828,0.722,1.2573333093679e-169,0,RPS4Y1
2.10693409035893e-173,0.688904730265662,0.984,0.967,3.93427802692723e-169,0,RPS9
3.07665816843107e-166,0.867490122358958,0.939,0.846,5.74504379791134e-162,0,PABPC1
5.27248480183662e-166,1.66530793698686,0.466,0.178,9.84531087046952e-162,0,TRBC1
1.36650204714444e-165,0.881810154292986,0.939,0.948,2.5516692726328e-161,0,MT-ND3
3.48032849371075e-163,0.750152469892872,0.954,0.908,6.49881739630608e-159,0,RPSA
5.73660037518102e-160,0.622151113128048,0.997,0.981,1.07119538805755e-155,0,RPL37A
1.94363282220336e-157,0.845152329762955,0.894,0.842,3.62934556890033e-153,0,DDX5
4.00941152973551e-155,0.874851658821484,0.884,0.785,7.48677414947512e-151,0,EEF1B2
1.92869183111813e-154,1.11926988595789,0.783,0.615,3.60144625624689e-150,0,COMMD6
7.82056509001024e-153,0.718497574620479,0.953,0.907,1.46033411925761e-148,0,RPL24
3.14745762049809e-151,1.34590647920999,0.439,0.168,5.87724761475609e-147,0,AAK1
3.00018413851824e-150,0.581569882563703,1,0.998,5.60224384185511e-146,0,RPLP1
1.52475822568651e-149,0.600866108819977,0.978,0.979,2.84718103482442e-145,0,RPL8
7.21858445460769e-147,1.06250164627931,0.283,0.06,1.34792627520889e-142,0,PIK3IP1
7.41005105846723e-146,1.21997880625939,0.688,0.464,1.38367883414759e-141,0,TSC22D3
3.93644516466206e-143,1.43863630790206,0.548,0.311,7.35052405597347e-139,0,NOSIP
2.53602263668378e-142,1.14152233883134,0.335,0.093,4.73551506947963e-138,0,LAT
4.38260792498524e-142,1.04885004912432,0.285,0.063,8.18364377832493e-138,0,RCAN3
3.11853317935826e-140,1.23301524486101,0.376,0.125,5.82323700581568e-136,0,MGAT4A
2.58958388560736e-133,0.700970095576374,0.939,0.868,4.83552998959461e-129,0,RPL23
1.54305292871647e-129,0.68493674371603,0.904,0.918,2.88134273379226e-125,0,PFDN5
6.34062132418606e-129,0.87198346417763,0.839,0.706,1.18398421986526e-124,0,EIF3E
1.23684822236705e-128,1.00927633358441,0.33,0.095,2.309566685626e-124,0,CD27
7.54401290450068e-128,0.579294361129191,0.995,0.98,1.40869352965741e-123,0,RPL15
7.3040142428662e-126,1.17797200588777,0.392,0.151,1.36387857957041e-121,0,TCF7
7.36087995578377e-126,1.1686342463775,0.418,0.168,1.3744971141435e-121,0,ACAP1
1.81733593934253e-122,1.05200653402875,0.276,0.069,3.39351139953431e-118,0,GIMAP7
2.28523167936626e-122,0.994781626565831,0.92,0.838,4.26721311488063e-118,0,RPS26
6.42896154034303e-121,0.760430278723331,0.929,0.914,1.20047998842825e-116,0,MT-ND2
9.24381429991353e-119,0.892062572576243,0.764,0.621,1.72609744422285e-114,0,GLTSCR2
2.86904997526765e-115,0.498618482402787,0.979,0.988,5.35737701881728e-111,0,UBA52
4.02750510451047e-115,0.929618882681112,0.744,0.59,7.52056028165241e-111,0,HLA-E
1.01042553792753e-113,0.962040626618273,0.285,0.078,1.88676760697207e-109,0,CD2
2.02278742753655e-113,0.662828439135821,0.958,0.931,3.77715096343899e-109,0,MT-CYB
4.17970266226572e-110,1.11806853015443,0.651,0.496,7.80475878124878e-106,0,TXNIP
5.6240834402416e-109,0.677169191456324,0.867,0.803,1.05018510079631e-104,0,HLA-C
1.96072127993396e-106,0.54041812377333,0.949,0.921,3.66125484602068e-102,0,HLA-B
1.38016720658001e-105,1.20053688744119,0.356,0.141,2.57718622484686e-101,0,RP11-51J9.5
1.76357691247899e-105,1.11666135139077,0.377,0.159,3.29312716867201e-101,0,ATM
1.29815705836498e-101,0.524852908195562,0.959,0.979,2.42404867508493e-97,0,EIF1
2.51839751714224e-101,1.10458000792135,0.419,0.198,4.7026036837597e-97,0,TRAF3IP3
3.61196054160851e-101,1.09982726274019,0.39,0.168,6.74461391934558e-97,0,LEF1
1.7520526586001e-97,1.02962823774217,0.556,0.35,3.27160792940397e-93,0,KLF2
7.84442888147187e-92,0.661571890313012,0.911,0.923,1.46479020503724e-87,0,MT-ATP6
2.16860867066556e-87,0.940104091812811,0.656,0.515,4.04944297073381e-83,0,ZFP36L2
4.67392922329354e-87,0.802456142656961,0.72,0.586,8.72762803865602e-83,0,LDHB
7.29022118300969e-87,1.19135339226865,0.632,0.444,1.3613030015034e-82,0,ZNF90
1.09406014581565e-83,1.06668179316062,0.305,0.118,2.04293851028156e-79,0,ETS1
1.4187715386858e-80,0.874424783993816,0.253,0.085,2.64927209418799e-76,0,GZMM
2.5754389268101e-80,0.676815505191436,0.79,0.802,4.8091171080325e-76,0,UQCRB
2.40150417990516e-79,0.600778493711783,0.86,0.849,4.48432875513691e-75,0,COX7C
4.95235389401043e-77,0.479622323173526,0.946,0.892,9.24753042628567e-73,0,GNB2L1
7.53047729148645e-77,0.535551502732312,0.849,0.827,1.40616602463927e-72,0,HLA-A
9.51661344599372e-77,0.990097408941755,0.598,0.472,1.77703722877041e-72,0,SNHG8
4.8982675047355e-76,0.852999724929995,0.572,0.37,9.1465349115926e-72,0,SELL
3.0899682012612e-75,0.990443011893916,0.344,0.161,5.76989762221504e-71,0,ITM2A
3.02039123959183e-74,0.928171288875043,0.557,0.409,5.63997656168982e-70,0,VAMP2
1.71262594776392e-71,0.855738034964214,0.635,0.527,3.19798643225957e-67,0,CALM1
3.30481541686126e-71,0.860502020308263,0.565,0.4,6.17108182790502e-67,0,PTPRC
7.20468117313937e-71,0.510299976846873,0.946,0.96,1.34533011546031e-66,0,MT-ND4
1.42567003595328e-70,1.11251774778563,0.534,0.395,2.66215365813556e-66,0,FOXP1
